TXN_ID,TXN_DT,ACCT_NO,TXN_AMT,ACCT_BAL,TENURE,ACCT_TYPE,ATM_IND,TXN_ST,ONLINE_IND,NOLNK_ACCT,FRD_IND
123A542,9/9/11,xxxx7992,11.79,235.88,0.3,REG,0,NV,1,0,1
123A275,9/9/11,xxxx7993,19.3,241.22,0.2,REG,0,NV,0,0,1
123A184,9/9/11,xxxx8013,22.23,277.85,0.3,REG,0,NV,1,0,1
123A264,9/9/11,xxxx8021,14.69,293.83,5.6,REG,0,OH,0,0,1
123A189,9/9/11,xxxx8052,27.89,348.57,0.3,REG,0,NV,0,0,1
123A554,9/9/11,xxxx8059,28.63,357.89,0.3,REG,0,NV,1,0,1
123A205,9/9/11,xxxx8065,18.33,366.54,0.3,REG,0,NV,0,0,1
123A455,9/9/11,xxxx8075,31.16,389.54,3.2,REG,1,NV,0,0,1
123A618,9/9/11,xxxx8078,19.91,398.12,0.3,PRM,1,NV,0,0,1
123A335,9/9/11,xxxx8088,33.95,424.37,0.3,REG,1,NV,0,0,1
123A573,9/9/11,xxxx8118,39.92,498.95,2.3,REG,1,NV,0,0,1
123A186,9/9/11,xxxx8127,26.62,532.43,0.3,REG,1,NV,0,0,1
123A502,9/9/11,xxxx8129,26.81,536.22,0.3,REG,1,NV,0,0,1
123A653,9/9/11,xxxx8136,44.09,551.13,0.1,REG,0,NV,0,0,1
123A153,9/9/11,xxxx8146,45.9,573.77,5.6,REG,1,OH,0,0,1
123A617,9/9/11,xxxx8148,46.36,579.46,0.3,REG,0,NV,0,0,1
123A707,9/9/11,xxxx8153,46.87,585.83,0.3,REG,0,NV,0,0,1
123A181,9/9/11,xxxx8165,49.69,621.08,0.3,PRM,1,NV,0,0,1
123A582,9/9/11,xxxx8169,31.14,622.87,0.3,REG,1,NV,0,0,1
123A387,9/9/11,xxxx8171,50.61,632.57,0.2,REG,1,NV,0,0,1
123A513,9/9/11,xxxx8173,50.69,633.63,4.9,REG,0,NV,1,0,1
123A310,9/9/11,xxxx8200,55.26,690.69,0.3,REG,0,NV,1,0,1
123A361,9/9/11,xxxx8202,55.46,693.29,0.2,REG,0,NV,1,0,1
123A569,9/9/11,xxxx8212,56.58,707.27,5.6,REG,1,NV,0,0,1
123A117,9/9/11,xxxx8214,56.97,712.08,5.6,REG,1,NV,0,0,1
123A556,9/9/11,xxxx8227,37.11,742.26,0.1,REG,0,NV,0,0,1
123A270,9/9/11,xxxx8250,64.53,806.68,0.3,REG,0,NV,1,0,1
123A538,9/9/11,xxxx8266,42.14,842.75,3.2,REG,1,NV,0,0,1
123A477,9/9/11,xxxx8270,68.14,851.73,4.5,REG,1,NV,0,0,1
123A118,9/9/11,xxxx8272,68.45,855.57,5.6,REG,1,NV,0,0,1
123A286,9/9/11,xxxx8277,42.91,858.27,4.3,REG,1,NV,0,0,1
123A631,9/9/11,xxxx8294,71.4,892.48,0.3,REG,1,NV,0,0,1
123A545,9/9/11,xxxx8308,75.13,939.1,5.6,REG,1,OH,0,0,1
123A505,9/9/11,xxxx8325,78.56,981.99,2.6,REG,1,NV,0,0,1
123A426,9/9/11,xxxx8334,50.87,1017.46,0.3,REG,0,NV,1,0,1
123A666,9/9/11,xxxx8366,86.48,1080.97,5.6,REG,1,OH,0,0,1
123A236,9/9/11,xxxx8372,56.68,1133.58,5.2,REG,1,NV,0,0,1
123A434,9/9/11,xxxx8373,56.72,1134.41,5.6,REG,1,NV,0,0,1
123A660,9/9/11,xxxx8378,59.02,1180.42,0.3,REG,1,NV,0,0,1
123A669,9/9/11,xxxx8417,254.85,5097.09,0.3,REG,0,NV,0,0,1
123A165,9/9/11,xxxx8499,599.83,11996.61,5.6,PRM,0,OH,1,0,1
123A621,9/9/11,xxxx7895,3.52,44,5.6,REG,1,OH,0,1,0
123A364,9/9/11,xxxx7901,4.42,55.27,5.6,REG,1,NV,0,1,0
123A382,9/9/11,xxxx7918,2.02,100.1,5.6,PRM,1,OH,0,1,0
123A581,9/9/11,xxxx7965,14.95,186.88,5.6,REG,1,OH,0,1,0
123A404,9/9/11,xxxx7968,15.59,194.85,5.6,REG,0,OH,0,1,0
123A326,9/9/11,xxxx7972,2.02,200.02,4.4,REG,1,NV,0,1,0
123A289,9/9/11,xxxx8005,21.34,266.77,5.6,REG,1,NV,0,1,0
123A708,9/9/11,xxxx8007,13.5,269.95,0.3,REG,0,OH,0,1,0
123A686,9/9/11,xxxx8015,14.33,286.62,5.2,REG,0,NV,0,1,0
123A470,9/9/11,xxxx8020,14.63,292.59,5.6,REG,0,NV,0,1,0
123A681,9/9/11,xxxx8027,24.69,308.57,0.2,REG,0,NV,0,1,0
123A630,9/9/11,xxxx8030,24.8,309.94,0.3,REG,0,OH,1,1,0
123A620,9/9/11,xxxx8035,25.37,317.1,5.6,REG,1,NV,0,1,0
123A512,9/9/11,xxxx8038,25.55,319.4,5.6,REG,1,OH,0,1,0
123A343,9/9/11,xxxx8049,27.19,339.89,0.3,REG,0,NV,0,1,0
123A648,9/9/11,xxxx8064,29.21,365.13,5.6,REG,0,OH,0,1,0
123A102,9/9/11,xxxx8089,21.23,424.7,0.1,REG,1,NV,0,1,0
123A373,9/9/11,xxxx8092,21.63,432.57,3.9,REG,1,NV,0,1,0
123A482,9/9/11,xxxx8095,34.96,436.99,5.6,REG,1,OH,0,1,0
123A300,9/9/11,xxxx8097,21.9,438.05,5.6,REG,0,OH,1,1,0
123A415,9/9/11,xxxx8102,36.15,451.88,5.6,REG,0,NV,1,1,0
123A113,9/9/11,xxxx8107,38.02,475.23,5.6,REG,0,OH,0,1,0
123A242,9/9/11,xxxx8111,38.72,484,4,REG,0,OH,0,1,0
123A278,9/9/11,xxxx8116,39.59,494.85,4.9,REG,1,NV,0,1,0
123A240,9/9/11,xxxx8128,26.73,534.65,5.3,REG,1,NV,0,1,0
123A347,9/9/11,xxxx8139,44.39,554.86,5.2,REG,0,NV,0,1,0
123A696,9/9/11,xxxx8142,27.91,558.12,3.5,REG,0,NV,0,1,0
123A171,9/9/11,xxxx8147,46.06,575.74,5.1,PRM,1,NV,0,1,0
123A325,9/9/11,xxxx8151,46.83,585.35,0.3,PRM,0,NV,0,1,0
123A285,9/9/11,xxxx8163,48.95,611.87,5.6,REG,1,OH,0,1,0
123A510,9/9/11,xxxx8166,31.08,621.54,5.2,REG,0,NV,0,1,0
123A316,9/9/11,xxxx8168,49.8,622.52,5.6,REG,1,OH,0,1,0
123A266,9/9/11,xxxx8172,50.64,632.95,5.6,REG,0,OH,0,1,0
123A623,9/9/11,xxxx8181,51.55,644.38,2.9,REG,1,OH,0,1,0
123A605,9/9/11,xxxx8189,53.54,669.31,0.2,PRM,1,NV,0,1,0
123A398,9/9/11,xxxx8197,34.17,683.44,5.6,REG,1,OH,0,1,0
123A526,9/9/11,xxxx8204,55.61,695.11,4.9,PRM,0,NV,0,1,0
123A174,9/9/11,xxxx8207,35.09,701.74,3.3,REG,0,NV,0,1,0
123A334,9/9/11,xxxx8216,57.37,717.12,5.6,REG,1,OH,0,1,0
123A141,9/9/11,xxxx8220,57.86,723.31,3.7,REG,1,NV,0,1,0
123A676,9/9/11,xxxx8228,59.5,743.81,5.6,REG,1,OH,0,1,0
123A610,9/9/11,xxxx8230,37.28,745.54,5.6,REG,0,OH,0,1,0
123A414,9/9/11,xxxx8235,60.82,760.25,5.6,REG,0,OH,0,1,0
123A578,9/9/11,xxxx8240,38.76,775.1,4,REG,1,NV,0,1,0
123A478,9/9/11,xxxx8242,62.74,784.25,4.2,REG,0,OH,0,1,0
123A531,9/9/11,xxxx8253,65.09,813.66,3.3,REG,0,NV,0,1,0
123A146,9/9/11,xxxx8259,41.4,828,2.8,REG,1,NV,0,1,0
123A668,9/9/11,xxxx8267,42.33,846.66,5.6,REG,1,OH,0,1,0
123A670,9/9/11,xxxx8276,68.66,858.21,5.2,REG,1,NV,0,1,0
123A276,9/9/11,xxxx8283,43.16,863.15,5.6,PRM,0,OH,0,1,0
123A692,9/9/11,xxxx8290,70.87,885.82,5.6,REG,1,OH,0,1,0
123A392,9/9/11,xxxx8300,73.09,913.56,5.6,REG,0,OH,0,1,0
123A650,9/9/11,xxxx8304,46.27,925.38,5.6,REG,0,OH,0,1,0
123A425,9/9/11,xxxx8357,85.38,1067.29,0.1,REG,0,NV,0,1,0
123A405,9/9/11,xxxx8364,86.32,1078.99,0.1,REG,1,NV,0,1,0
123A642,9/9/11,xxxx8374,57.15,1143.06,5.3,REG,1,NV,0,1,0
123A571,9/9/11,xxxx8381,62,1240.05,5.6,PRM,1,OH,0,1,0
123A367,9/9/11,xxxx8384,92.6,1852.02,5.6,REG,1,OH,0,1,0
123A615,9/9/11,xxxx8389,113.92,2278.45,5.6,REG,1,OH,0,1,0
123A107,9/9/11,xxxx8392,118.97,2379.39,5.6,PRM,1,OH,0,1,0
123A445,9/9/11,xxxx8396,146.13,2922.62,5.6,REG,1,NV,0,1,0
123A413,9/9/11,xxxx8397,146.32,2926.46,5.6,PRM,1,OH,0,1,0
123A463,9/9/11,xxxx8399,158.92,3178.33,5.6,PRM,1,OH,0,1,0
123A193,9/9/11,xxxx8401,178.01,3560.27,0.3,PRM,0,NV,0,1,0
123A291,9/9/11,xxxx8404,195.94,3918.73,5.6,REG,0,OH,0,1,0
123A625,9/9/11,xxxx8410,221.56,4431.29,5.6,PRM,0,OH,0,1,0
123A327,9/9/11,xxxx8413,239.73,4794.6,5.6,PRM,0,OH,0,1,0
123A553,9/9/11,xxxx8418,257.23,5144.62,5.6,PRM,0,OH,0,1,0
123A611,9/9/11,xxxx8421,268.21,5364.12,5.6,REG,1,NV,0,1,0
123A535,9/9/11,xxxx8438,325.27,6505.4,5.6,PRM,1,OH,0,1,0
123A229,9/9/11,xxxx8443,350.72,7014.45,5.6,PRM,1,OH,0,1,0
123A309,9/9/11,xxxx8447,381.4,7628.02,5.6,REG,0,OH,0,1,0
123A579,9/9/11,xxxx8448,381.58,7631.65,2.4,REG,0,NV,0,1,0
123A337,9/9/11,xxxx8450,393.77,7875.36,0.3,REG,0,NV,0,1,0
123A237,9/9/11,xxxx8461,460.46,9209.29,5.6,REG,0,NV,0,1,0
123A511,9/9/11,xxxx8466,477.88,9557.68,5.6,PRM,0,OH,0,1,0
123A453,9/9/11,xxxx8471,491.85,9837.03,3.8,PRM,1,OH,0,1,0
123A489,9/9/11,xxxx8480,534.91,10698.17,5.6,PRM,1,OH,0,1,0
123A449,9/9/11,xxxx8485,549.46,10989.1,5.6,PRM,1,OH,0,1,0
123A467,9/9/11,xxxx8492,570.16,11403.24,5.6,PRM,0,OH,0,1,0
123A503,9/9/11,xxxx8494,577.98,11559.62,5.6,PRM,0,OH,0,1,0
123A133,9/9/11,xxxx8498,594.15,11882.92,5.6,PRM,0,NV,0,1,0
123A338,9/9/11,xxxx8362,85.97,1074.67,0.3,REG,1,NV,0,1,1
123A305,9/9/11,xxxx8478,520.96,10419.23,5.6,PRM,1,NV,0,1,1
123A376,9/9/11,xxxx8044,16.75,335.09,0.2,REG,0,OH,0,2,0
123A498,9/9/11,xxxx8053,17.48,349.56,0.3,REG,1,NV,0,2,0
123A585,9/9/11,xxxx8057,28.35,354.42,5.6,REG,0,OH,1,2,0
123A429,9/9/11,xxxx8061,29.06,363.25,5.6,REG,0,OH,0,2,0
123A555,9/9/11,xxxx8069,30.12,376.52,3.5,REG,0,NV,0,2,0
123A540,9/9/11,xxxx8086,33.04,412.97,5.6,REG,1,OH,0,2,0
123A388,9/9/11,xxxx8179,51.45,643.14,4.3,REG,1,NV,0,2,0
123A560,9/9/11,xxxx8183,32.37,647.48,5.6,PRM,1,OH,0,2,0
123A456,9/9/11,xxxx8310,47.17,943.33,5.6,REG,0,OH,0,2,0
123A221,9/9/11,xxxx8314,76.09,951.18,5.6,REG,0,OH,0,2,0
123A483,9/9/11,xxxx8326,78.87,985.87,5.6,REG,0,OH,0,2,0
123A464,9/9/11,xxxx8329,79.47,993.37,2.8,REG,0,NV,0,2,0
123A246,9/9/11,xxxx8331,49.89,997.77,0.2,REG,1,NV,0,2,0
123A195,9/9/11,xxxx8336,81.82,1022.72,3.9,REG,1,NV,0,2,0
123A216,9/9/11,xxxx8337,81.98,1024.72,3.6,REG,1,NV,0,2,0
123A649,9/9/11,xxxx8341,83,1037.49,5.6,PRM,1,OH,0,2,0
123A473,9/9/11,xxxx8343,83.29,1041.1,5.6,REG,1,OH,0,2,0
123A699,9/9/11,xxxx8346,83.94,1049.23,5.6,REG,0,NV,0,2,0
123A488,9/9/11,xxxx8348,52.54,1050.79,0.3,REG,1,NV,0,2,0
123A444,9/9/11,xxxx8352,52.97,1059.43,3.4,REG,1,NV,0,2,0
123A353,9/9/11,xxxx8355,85.15,1064.39,0.3,REG,0,OH,0,2,0
123A203,9/9/11,xxxx8358,85.52,1069.04,5.6,REG,0,NV,0,2,0
123A202,9/9/11,xxxx8363,86.04,1075.47,5.5,REG,1,NV,0,2,0
123A590,9/9/11,xxxx8365,86.47,1080.93,5.6,REG,0,NV,0,2,0
123A284,9/9/11,xxxx8369,87.38,1092.25,2.7,REG,1,OH,0,2,0
123A339,9/9/11,xxxx8371,87.82,1097.78,0.3,REG,1,NV,0,2,0
123A592,9/9/11,xxxx8375,58.51,1170.14,5.6,REG,1,OH,0,2,0
123A381,9/9/11,xxxx8456,432.92,8658.45,5.6,REG,0,OH,0,2,0
123A593,9/9/11,xxxx8464,473.46,9469.12,5.6,REG,0,NV,0,2,0
123A190,9/9/11,xxxx8076,31.4,392.54,4.5,REG,0,NV,0,3,0
123A180,9/9/11,xxxx8083,32.34,404.21,5.6,REG,1,OH,0,3,0
123A659,9/9/11,xxxx8309,75.23,940.41,3.2,REG,0,OH,0,3,0
123A234,9/9/11,xxxx8311,75.67,945.89,5.6,REG,0,OH,0,3,0
123A147,9/9/11,xxxx8312,47.37,947.47,0.3,REG,1,NV,0,3,0
123A613,9/9/11,xxxx8313,75.82,947.75,3.8,REG,0,OH,0,3,0
123A619,9/9/11,xxxx8315,47.87,957.48,5.6,REG,0,NV,0,3,0
123A401,9/9/11,xxxx8316,76.78,959.79,0.3,REG,0,NV,1,3,0
123A159,9/9/11,xxxx8317,76.91,961.32,5.6,REG,1,OH,0,3,0
123A389,9/9/11,xxxx8318,77.28,965.98,5.2,REG,1,NV,0,3,0
123A116,9/9/11,xxxx8319,77.35,966.85,5,PRM,0,NV,0,3,0
123A589,9/9/11,xxxx8320,48.7,973.96,5.6,PRM,1,OH,0,3,0
123A232,9/9/11,xxxx8321,48.79,975.7,3.1,REG,1,NV,0,3,0
123A603,9/9/11,xxxx8322,78.15,976.87,2.4,REG,0,NV,0,3,0
123A675,9/9/11,xxxx8323,78.17,977.12,5.4,REG,0,NV,0,3,0
123A624,9/9/11,xxxx8324,49.09,981.89,5.6,PRM,1,OH,0,3,0
123A595,9/9/11,xxxx8327,79.16,989.51,5.6,REG,1,OH,0,3,0
123A521,9/9/11,xxxx8328,49.53,990.55,5.6,PRM,1,OH,0,3,0
123A302,9/9/11,xxxx8330,79.49,993.61,4.5,REG,0,NV,0,3,0
123A214,9/9/11,xxxx8332,49.89,997.82,0.3,REG,1,NV,0,3,0
123A460,9/9/11,xxxx8333,80.5,1006.23,2.9,REG,0,NV,0,3,0
123A408,9/9/11,xxxx8335,51.13,1022.5,2.8,REG,1,NV,0,3,0
123A547,9/9/11,xxxx8338,51.59,1031.74,5.6,REG,1,OH,0,3,0
123A321,9/9/11,xxxx8339,82.93,1036.67,5.2,REG,1,NV,0,3,0
123A684,9/9/11,xxxx8340,82.95,1036.92,5.6,REG,1,OH,0,3,0
123A329,9/9/11,xxxx8342,83.06,1038.28,4.9,PRM,1,NV,0,3,0
123A520,9/9/11,xxxx8344,52.07,1041.4,0.3,REG,0,OH,0,3,0
123A541,9/9/11,xxxx8345,83.71,1046.34,0.3,REG,1,OH,0,3,0
123A479,9/9/11,xxxx8347,83.96,1049.54,0.2,REG,0,NV,0,3,0
123A516,9/9/11,xxxx8349,52.84,1056.84,3.4,REG,1,NV,0,3,0
123A311,9/9/11,xxxx8351,84.69,1058.64,5.6,REG,0,OH,0,3,0
123A474,9/9/11,xxxx8353,53.15,1062.93,5.6,REG,1,OH,0,3,0
123A509,9/9/11,xxxx8354,85.08,1063.45,0.3,REG,0,NV,0,3,0
123A267,9/9/11,xxxx8356,85.38,1067.27,0.2,REG,0,OH,0,3,0
123A504,9/9/11,xxxx8359,85.57,1069.59,4.9,PRM,0,OH,0,3,0
123A459,9/9/11,xxxx8360,85.67,1070.84,5.6,REG,0,NV,0,3,0
123A410,9/9/11,xxxx8361,85.94,1074.25,0.3,REG,1,NV,0,3,0
123A469,9/9/11,xxxx8367,86.8,1085.04,3.6,REG,1,NV,0,3,0
123A362,9/9/11,xxxx8368,54.58,1091.54,3.4,REG,0,NV,0,3,0
123A584,9/9/11,xxxx8370,87.6,1095.04,4.5,REG,1,NV,0,3,0
123A524,9/9/11,xxxx8376,58.54,1170.77,4.4,REG,1,NV,0,3,0
123A384,9/9/11,xxxx8377,58.8,1176.08,3.6,REG,1,NV,0,3,0
123A380,9/9/11,xxxx8380,59.8,1196.07,4.3,REG,1,OH,0,3,0
123A251,9/9/11,xxxx8382,90.39,1807.7,2.1,REG,1,NV,0,3,0
123A647,9/9/11,xxxx8383,91.27,1825.42,2.8,REG,1,NV,0,3,0
123A665,9/9/11,xxxx8385,95.23,1904.62,5.6,PRM,1,OH,0,3,0
123A295,9/9/11,xxxx8386,102.02,2040.39,5.6,REG,1,OH,0,3,0
123A439,9/9/11,xxxx8387,109.55,2190.99,5.3,REG,1,NV,0,3,0
123A169,9/9/11,xxxx8388,112.61,2252.29,5.6,PRM,1,OH,0,3,0
123A175,9/9/11,xxxx8390,115.62,2312.4,5.6,PRM,1,OH,0,3,0
123A701,9/9/11,xxxx8391,117.8,2355.91,5.6,PRM,1,OH,0,3,0
123A359,9/9/11,xxxx8393,127.95,2558.92,2.4,REG,1,NV,0,3,0
123A157,9/9/11,xxxx8394,140.35,2806.91,5.6,PRM,1,NV,0,3,0
123A691,9/9/11,xxxx8395,143.4,2868.07,5.6,PRM,1,OH,0,3,0
123A247,9/9/11,xxxx8398,151.37,3027.39,5.6,REG,1,OH,0,3,0
123A525,9/9/11,xxxx8400,167.69,3353.8,3.2,REG,0,NV,0,3,0
123A557,9/9/11,xxxx8403,191.69,3833.74,2.1,REG,0,NV,0,3,0
123A129,9/9/11,xxxx8405,197.87,3957.32,5.4,REG,0,OH,0,3,0
123A507,9/9/11,xxxx8407,201.36,4027.26,5.6,PRM,0,OH,0,3,0
123A683,9/9/11,xxxx8408,213.02,4260.36,5.6,PRM,0,OH,0,3,0
123A679,9/9/11,xxxx8411,229.19,4583.72,5.6,PRM,1,OH,0,3,0
123A565,9/9/11,xxxx8412,229.85,4597.01,2.1,REG,0,NV,0,3,0
123A363,9/9/11,xxxx8414,247.11,4942.29,5.6,PRM,0,OH,0,3,0
123A241,9/9/11,xxxx8415,251.45,5028.97,5.6,PRM,0,OH,0,3,0
123A475,9/9/11,xxxx8419,257.66,5153.27,5.6,PRM,1,OH,0,3,0
123A395,9/9/11,xxxx8420,266.4,5327.99,5.6,PRM,1,NV,0,3,0
123A161,9/9/11,xxxx8422,271.5,5430.04,0.3,REG,1,NV,0,3,0
123A287,9/9/11,xxxx8424,282.81,5656.1,3.8,REG,1,NV,0,3,0
123A301,9/9/11,xxxx8426,297.01,5940.11,5.6,PRM,1,OH,0,3,0
123A331,9/9/11,xxxx8427,299.21,5984.27,5.6,PRM,1,OH,0,3,0
123A197,9/9/11,xxxx8429,305.55,6110.96,5.6,PRM,1,NV,0,3,0
123A499,9/9/11,xxxx8430,313.74,6274.82,0.3,REG,1,NV,0,3,0
123A697,9/9/11,xxxx8432,317.86,6357.19,5.6,REG,1,OH,0,3,0
123A399,9/9/11,xxxx8433,318.98,6379.67,5.6,PRM,1,OH,0,3,0
123A211,9/9/11,xxxx8434,319.56,6391.21,5.6,PRM,1,OH,0,3,0
123A529,9/9/11,xxxx8435,319.67,6393.47,5.6,PRM,1,NV,0,3,0
123A705,9/9/11,xxxx8436,319.69,6393.83,0.3,REG,1,NV,0,3,0
123A403,9/9/11,xxxx8439,330.78,6615.69,5.6,PRM,1,OH,0,3,0
123A421,9/9/11,xxxx8440,338.57,6771.33,5.6,PRM,1,OH,0,3,0
123A223,9/9/11,xxxx8442,343.12,6862.5,5.6,PRM,1,OH,0,3,0
123A601,9/9/11,xxxx8444,356.02,7120.37,5.6,PRM,0,OH,0,3,0
123A643,9/9/11,xxxx8445,363.57,7271.33,2,REG,0,NV,0,3,0
123A269,9/9/11,xxxx8446,366.2,7323.93,3,REG,0,OH,0,3,0
123A139,9/9/11,xxxx8449,381.69,7633.78,5.6,PRM,0,NV,0,3,0
123A427,9/9/11,xxxx8451,394.12,7882.39,5.6,REG,0,OH,0,3,0
123A355,9/9/11,xxxx8452,401.06,8021.24,3.5,REG,0,NV,0,3,0
123A607,9/9/11,xxxx8454,408.06,8161.29,5.6,REG,0,OH,0,3,0
123A283,9/9/11,xxxx8455,416.86,8337.27,5.6,REG,0,OH,0,3,0
123A687,9/9/11,xxxx8457,436.15,8723.09,5.6,PRM,0,OH,0,3,0
123A651,9/9/11,xxxx8458,437.71,8754.11,5.6,REG,0,OH,0,3,0
123A255,9/9/11,xxxx8459,449.25,8984.98,5.6,REG,0,OH,1,3,0
123A151,9/9/11,xxxx8462,463.11,9262.18,5.6,PRM,1,OH,0,3,0
123A111,9/9/11,xxxx8463,471.08,9421.51,5.6,REG,0,NV,0,3,0
123A265,9/9/11,xxxx8465,475.86,9517.21,5.6,REG,0,OH,0,3,0
123A215,9/9/11,xxxx8467,486.33,9726.6,2.6,REG,1,OH,0,3,0
123A435,9/9/11,xxxx8469,488.82,9776.34,5.6,PRM,0,OH,0,3,0
123A493,9/9/11,xxxx8470,490.32,9806.43,5.6,PRM,0,OH,0,3,0
123A121,9/9/11,xxxx8472,492.46,9849.2,3.3,PRM,0,NV,0,3,0
123A187,9/9/11,xxxx8473,495.6,9911.93,5.6,PRM,0,OH,0,3,0
123A201,9/9/11,xxxx8475,498.98,9979.56,5.6,PRM,1,OH,0,3,0
123A385,9/9/11,xxxx8476,511.01,10220.11,5.6,PRM,1,OH,0,3,0
123A273,9/9/11,xxxx8477,514.65,10293.08,5.6,PRM,1,NV,0,3,0
123A543,9/9/11,xxxx8481,537.34,10746.84,1.9,PRM,1,NV,0,3,0
123A259,9/9/11,xxxx8482,539.1,10782.06,5.6,PRM,1,OH,0,1,0
123A561,9/9/11,xxxx8483,545.55,10910.9,5.6,PRM,1,OH,0,3,0
123A517,9/9/11,xxxx8486,550.89,11017.76,5.6,PRM,1,OH,0,3,0
123A471,9/9/11,xxxx8487,557.45,11149.04,5.6,PRM,1,NV,0,3,0
123A233,9/9/11,xxxx8489,563.82,11276.44,5.6,PRM,1,OH,0,1,0
123A143,9/9/11,xxxx8490,565.29,11305.72,5.6,PRM,1,OH,0,3,0
123A345,9/9/11,xxxx8491,567.78,11355.7,5.6,PRM,1,OH,0,3,0
123A319,9/9/11,xxxx8493,574.75,11494.94,5.6,PRM,0,NV,0,1,0
123A103,9/9/11,xxxx8495,584.16,11683.23,5.6,PRM,0,OH,1,3,0
123A481,9/9/11,xxxx8496,584.6,11692.08,5.6,PRM,0,OH,1,1,0
123A185,9/9/11,xxxx7890,2.61,32.66,4.5,REG,0,OH,0,0,0
123A292,9/9/11,xxxx7891,2.68,33.51,5.6,REG,0,OH,0,0,0
123A461,9/9/11,xxxx7892,2.76,34.51,0.3,REG,0,NV,1,0,0
123A594,9/9/11,xxxx7893,3.14,39.26,5.6,PRM,0,OH,0,0,0
123A500,9/9/11,xxxx7896,3.62,45.19,5.6,PRM,1,OH,0,0,0
123A604,9/9/11,xxxx7900,4.4,55,5.6,REG,1,OH,0,0,0
123A496,9/9/11,xxxx7902,4.6,57.44,5.6,REG,1,OH,0,0,0
123A123,9/9/11,xxxx7903,4.66,58.3,0.3,REG,1,NV,0,0,0
123A149,9/9/11,xxxx7904,5.45,68.09,5.6,REG,0,OH,0,0,0
123A577,9/9/11,xxxx7905,6.13,76.69,5,PRM,0,NV,0,0,0
123A293,9/9/11,xxxx7906,6.21,77.68,5.6,REG,0,OH,0,0,0
123A281,9/9/11,xxxx7907,6.36,79.53,3.5,REG,0,NV,0,0,0
123A424,9/9/11,xxxx7908,6.61,82.66,4.9,REG,1,NV,0,0,0
123A588,9/9/11,xxxx7909,4.16,83.26,5.6,REG,1,OH,0,0,0
123A492,9/9/11,xxxx7910,4.38,87.55,5.6,REG,0,OH,0,0,0
123A268,9/9/11,xxxx7911,4.62,92.44,2.2,REG,1,OH,0,0,0
123A702,9/9/11,xxxx7912,7.59,94.87,5.6,REG,0,NV,0,0,0
123A452,9/9/11,xxxx7913,4.91,98.22,5.6,REG,1,NV,0,0,0
